City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Georgetown,MY,78.75,moderate rain,5.4112,100.3354,Cititel Penang
3,Atuona,PF,77.86,clear sky,-9.8,-139.0333,Villa Enata
8,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
9,Butaritari,KI,82.42,light rain,3.0707,172.7902,Isles Sunset Lodge
17,Padang,ID,76.24,overcast clouds,-0.9492,100.3543,Mercure Padang
20,Mangrol,IN,83.71,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
28,Touros,BR,75.11,few clouds,-5.1989,-35.4608,INN NEW HORIZON
31,Claymont,US,77.67,overcast clouds,39.8007,-75.4596,Brandywine Plaza
32,Isangel,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
33,Hithadhoo,MV,81.18,light rain,-0.6,73.0833,Scoop Guest House
35,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Nioaque,BR,76.59,clear sky,-21.1353,-55.83,Nioaque Novo Hotel
44,Hilo,US,83.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
49,Sur,OM,89.19,few clouds,22.5667,59.5289,Sur Plaza Hotel
62,Pendleton,US,77.61,clear sky,45.6721,-118.7886,Americas Best Value Inn Pendleton
65,Sandi,IN,87.89,clear sky,27.3,79.95,देवल सदन
66,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
67,Wanning,CN,80.53,overcast clouds,18.8003,110.3967,Paradise Hotel
68,Iquitos,PE,87.84,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
70,Aripuana,BR,77.7,broken clouds,-9.1667,-60.6333,
71,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
73,Jamestown,US,80.19,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
74,Panlaitan,PH,83.21,broken clouds,12.1191,119.8486,SOUTH BEACH
76,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
84,Xiamen,CN,76.24,broken clouds,24.4798,118.0819,Xiamen Dongchen Hotel
86,Samarai,PG,81.95,broken clouds,-10.6167,150.6667,Nuli Sapi
87,Bengkulu,ID,76.17,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
88,Agadez,NE,87.42,overcast clouds,19.75,10.25,
89,Tingo Maria,PE,77.85,clear sky,-9.2895,-76.0088,Hospedaje Paraíso
100,Poum,NC,78.69,overcast clouds,-20.2333,164.0167,
102,Linping,CN,76.93,broken clouds,30.4225,120.2972,Super 8 Hangzhou Linping Subway Station
104,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
109,Kapoeta,SS,79.74,clear sky,4.7717,33.5903,Eastgate Hotel
113,Uong Bi,VN,82.38,overcast clouds,21.0333,106.7833,khach san Trung lien
114,Macamic,CA,77.13,scattered clouds,48.7502,-78.9996,"Maison Tardif Enr. - Chambre à Macamic, QC"
120,Lodwar,KE,85.51,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
122,Lorengau,PG,83.53,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
124,Sarangani,PH,82.6,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
125,Nouakchott,MR,76.93,clear sky,18.0858,-15.9785,HOTEL IMAN
127,Sao Miguel Do Araguaia,BR,80.49,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
130,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
132,Domoni,KM,76.26,clear sky,-12.2569,44.5319,Al Djadid
136,Mapiripan,CO,80.42,broken clouds,2.8892,-72.1256,Monserrate
141,Bonoua,CI,78.42,light rain,5.2741,-3.595,Hotel Bon Samaritian
143,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
145,Tabou,CI,76.03,light rain,4.423,-7.3528,hotêl doufoulougou
151,Jining,CN,84.78,few clouds,35.405,116.5814,Yunhe Star Hotel
152,Kavieng,PG,82.33,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
156,Cururupu,BR,75.0,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
158,Jatibonico,CU,84.27,broken clouds,21.9419,-79.17,"Hostel ""Los Tomasos"""
165,Vanimo,PG,77.99,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
171,Dongli,CN,76.98,mist,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
174,Herat,AF,75.74,clear sky,34.5,62.0,
177,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
189,Veraval,IN,83.73,overcast clouds,20.9,70.3667,Lords Inn Somnath
192,Broome,US,77.77,scattered clouds,42.2506,-75.833,Chenango Valley State Park
202,Balsas,BR,80.67,overcast clouds,-7.5325,-46.0356,Novo Hotel
203,Mitsamiouli,KM,77.85,clear sky,-11.3847,43.2844,Foyer ADM
204,Santa Cruz,BO,83.66,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
207,Hede,CN,76.89,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
209,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
210,Faanui,PF,80.26,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
211,Portel,BR,77.11,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
212,Ixtapa,MX,84.22,overcast clouds,20.7,-105.2,hotel la terminal
216,Elizabeth City,US,84.0,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
219,Basco,PH,85.55,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
222,Kandi,BJ,77.36,overcast clouds,11.1342,2.9386,Hébergement de la Poste
224,Hami,CN,75.22,broken clouds,42.8,93.45,Laoyutang Resort
226,Coatesville,US,77.86,overcast clouds,39.9832,-75.8238,Courtyard by Marriott Philadelphia Coatesville/Exton
227,Kimbe,PG,78.62,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
238,Saint Anthony,US,79.9,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
240,Kralendijk,BQ,81.05,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
245,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
250,Samana,DO,82.62,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
252,Sillod,IN,79.63,moderate rain,20.3,75.65,पवन
254,Garissa,KE,75.42,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
257,Lompoc,US,83.79,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
260,Nioro,GM,79.79,broken clouds,13.35,-15.75,
261,Bara,NG,76.01,moderate rain,10.3744,10.7288,
265,Kirakira,SB,82.2,overcast clouds,-10.4544,161.9205,SanBiz Lodge
266,Merauke,ID,78.55,few clouds,-8.4667,140.3333,
274,Caibarien,CU,83.08,broken clouds,22.5206,-79.4669,La Nena
276,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
278,Davila,PH,78.78,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
280,Acapulco,MX,79.11,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
281,Biak,ID,75.24,broken clouds,-0.9131,122.8766,Penginapan Kim
289,Dingle,PH,77.7,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
291,Kahului,US,85.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
293,Guerrero Negro,MX,75.33,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
297,Ciudad Bolivar,VE,85.68,overcast clouds,8.1222,-63.5497,Hotel Edi
305,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
306,Nanakuli,US,82.45,light rain,21.3906,-158.1547,Camp Pālehua
311,Phan Thiet,VN,76.6,overcast clouds,10.9333,108.1,Hotel Saigon-PT
319,Puerto Escondido,MX,80.67,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
322,Half Moon Bay,US,77.58,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
323,Rancho Palos Verdes,US,87.85,few clouds,33.7445,-118.387,Terranea Resort
328,Jalu,LY,83.5,clear sky,29.0331,21.5482,صاحبة الفخامة
329,Beyneu,KZ,81.97,overcast clouds,45.3167,55.2,NUR
331,Guhagar,IN,79.47,overcast clouds,17.4842,73.1929,Hotel Seawinds
333,Bandarbeyla,SO,78.03,overcast clouds,9.4942,50.8122,JABIR HOTEL
335,Conakry,GN,82.47,broken clouds,9.538,-13.6773,Riviera Royal Hotel
336,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
341,Watertown,US,75.58,overcast clouds,42.3709,-71.1828,16 Washburn Street Watertown MA
342,Kavaratti,IN,82.49,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
344,Macherla,IN,84.85,overcast clouds,16.4833,79.4333,Vivek express
345,Panuco,MX,89.28,overcast clouds,22.05,-98.1667,Hotel Plaza
347,Ligayan,PH,82.71,broken clouds,4.6533,119.4706,
350,Meulaboh,ID,75.83,overcast clouds,4.1363,96.1285,Kost Pria
351,Ishigaki,JP,80.73,heavy intensity rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
355,Cabedelo,BR,76.96,clear sky,-6.9811,-34.8339,Pousada Camboinha
358,Tuy Hoa,VN,77.43,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
364,Honiara,SB,82.26,broken clouds,-9.4333,159.95,Heritage Park Hotel
367,Progreso,MX,87.12,clear sky,21.2833,-89.6667,Playa Linda Hotel
368,San Policarpo,PH,80.69,broken clouds,12.1791,125.5072,Agapita M. Nicart
372,Baracoa,CU,83.55,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
374,Najran,SA,79.92,few clouds,17.4924,44.1277,محمد هادي ال فطيح
380,Key West,US,88.0,broken clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
383,Ewo,CG,77.34,light rain,-0.8725,14.8206,Residence Elonda Ewo
389,Laguna De Perlas,NI,77.94,overcast clouds,12.3429,-83.6712,Hotel Best View
390,Carauari,BR,77.14,broken clouds,-4.8828,-66.8958,Hotel Fellip
394,Namatanai,PG,81.01,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
398,Qena,EG,87.13,clear sky,26.1615,32.7183,"Grand hotel ""Quena"""
401,Road Town,VG,82.44,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
404,Salalah,OM,82.69,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
412,Muborak,UZ,83.97,clear sky,39.2553,65.1528,Muborak temiryoʻl vakzali
414,Gigmoto,PH,81.75,scattered clouds,13.7796,124.39,Cj's Travellers Inn
421,Waterloo,CA,77.56,clear sky,43.4668,-80.5164,The Walper Hotel
422,Tautira,PF,78.91,broken clouds,-17.7333,-149.15,Pension Oaoa
426,Boa Vista,BR,82.38,light rain,2.8197,-60.6733,Aipana Plaza Hotel
430,Kalmunai,LK,78.3,moderate rain,7.4167,81.8167,VS Villa
431,Semme,FR,77.41,broken clouds,46.1963,1.5007,Inter-Hotel Alexia
435,Riyadh,SA,88.32,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
436,Bilma,NE,89.26,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
445,Manokwari,ID,78.33,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
446,Abu Dhabi,AE,89.71,clear sky,24.4667,54.3667,Beach Rotana
448,Palmas,BR,84.07,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
449,Harper,LR,76.73,light rain,4.375,-7.7169,Screensaver
450,Maues,BR,77.5,scattered clouds,-3.3836,-57.7186,Hotel Miramar
460,Havelock,US,82.98,broken clouds,34.8791,-76.9013,Sherwood Motel
463,Kudahuvadhoo,MV,83.44,light rain,2.6708,72.8944,Niyama Private Islands Maldives
465,Terre-De-Bas,GP,81.91,broken clouds,15.8501,-61.6442,Hôtel Bois Joli
466,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
471,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
478,Ramhormoz,IR,88.97,clear sky,31.28,49.6035,کافی نت کاریزما
481,Lazaro Cardenas,MX,77.99,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
484,Luquillo,PR,84.15,scattered clouds,18.3725,-65.7166,Yunque Mar Beach Hotel
485,Dicabisagan,PH,80.83,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
487,Mana,GF,77.5,light rain,5.6592,-53.7767,LE SAMANA
488,Gloversville,US,75.36,overcast clouds,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
489,San Jose,US,81.86,clear sky,37.3394,-121.895,The Westin San Jose
490,Araouane,ML,83.1,scattered clouds,18.9048,-3.5265,
498,Sancti Spiritus,CU,83.98,broken clouds,21.9297,-79.4425,Hostal El Parque
500,San Francisco Del Mar,MX,86.27,overcast clouds,16.2333,-94.65,
501,Sao Raimundo Nonato,BR,78.87,broken clouds,-9.0153,-42.6994,Real Hotel
506,Tripoli,LY,75.92,clear sky,32.8752,13.1875,Al Waddan Hotel
507,Shache,CN,79.45,scattered clouds,38.4167,77.2406,Delong Hotel
512,Banda Aceh,ID,79.52,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
513,Ferme-Neuve,CA,75.81,overcast clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
516,Xingtai,CN,78.66,broken clouds,37.0631,114.4942,Xingzhou Hotel
517,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
520,Teahupoo,PF,78.76,broken clouds,-17.8333,-149.2667,Vanira Lodge
527,Port Said,EG,76.75,clear sky,31.2565,32.2841,Aracan Hotel
528,Bridgetown,BB,82.89,few clouds,13.1,-59.6167,Hilton Barbados Resort
530,Badlapur,IN,84.0,overcast clouds,19.15,73.2667,Rainy Resort and Water Park
532,Sibolga,ID,75.13,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
533,Gao,ML,87.82,broken clouds,16.6362,1.637,
536,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
537,Kuala Terengganu,MY,77.9,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
538,Inirida,CO,78.06,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
540,The Valley,AI,83.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
543,Jiaozuo,CN,83.93,clear sky,35.2397,113.2331,Days Hotel and Suites Jiaozuo
547,Nortelandia,BR,79.23,broken clouds,-14.4547,-56.8028,Pousada e Restaurante Santana
549,Kieta,PG,80.92,light rain,-6.2167,155.6333,Uruna Bay Retreat
551,Hobyo,SO,78.37,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
552,Bubaque,GW,79.63,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
556,Marathon,US,78.33,broken clouds,44.9,-89.7668,
560,Arlit,NE,89.42,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
561,Savannah Bight,HN,80.19,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
562,Senador Jose Porfirio,BR,77.31,scattered clouds,-2.5908,-51.9542,Pousada Novo Horizonte
565,Alta Floresta,BR,78.98,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
568,Fuerte Olimpo,PY,87.03,scattered clouds,-21.0415,-57.8738,Hospedaje DAMI
570,Maumere,ID,78.28,broken clouds,-8.6199,122.2111,Sylvia Hotel
571,Siva,EG,82.67,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
572,Nalut,LY,79.83,clear sky,30.3333,10.85,
579,Ribas Do Rio Pardo,BR,76.55,few clouds,-20.4431,-53.7592,Pousada Avenida
587,Awbari,LY,81.81,clear sky,26.5921,12.7805,فندق أوباري
589,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
600,Zabid,YE,87.98,broken clouds,14.1951,43.3152,مغرب التريبه
603,Garwa,IN,84.07,overcast clouds,24.1833,83.8167,A.PS.D Utsav Garden
604,Mingshui,CN,78.98,scattered clouds,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
608,Lethem,GY,77.56,broken clouds,3.3803,-59.7968,Savannah Inn
609,Ho Chi Minh City,VN,82.42,scattered clouds,10.75,106.6667,Windsor Plaza Hotel
611,Alcudia,ES,82.38,broken clouds,39.8532,3.1214,Zafiro Tropic
615,Marsh Harbour,BS,82.09,broken clouds,26.5412,-77.0636,Abaco Beach Resort
617,Jabinyanah,TN,76.69,clear sky,35.035,10.9081,maison belmabrouk
618,San Andres,CO,78.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
620,Pacific Grove,US,81.55,clear sky,36.6177,-121.9166,Lovers Point Inn
621,Dhidhdhoo,MV,82.87,overcast clouds,6.8833,73.1,Dhidhoo beach
623,Ciudad Ojeda,VE,85.32,scattered clouds,10.1964,-71.3082,Hotel América
624,Susanville,US,78.64,clear sky,40.4163,-120.653,Comfort Inn & Suites
627,Manacapuru,BR,78.62,scattered clouds,-3.2997,-60.6206,Novo Hotel
628,Abu Zabad,SD,88.02,overcast clouds,12.35,29.25,حامد محمد نور
632,Waslala,NI,78.13,overcast clouds,13.2333,-85.3833,
634,Tessaoua,NE,79.72,light rain,13.7574,7.9874,Benin Dan Kaabou Heberge
637,Hirado,JP,76.39,broken clouds,33.3597,129.5531,Samson Hotel
639,Ocos,GT,86.18,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
640,Teknaf,BD,77.16,overcast clouds,20.8624,92.3058,Forestry Guesthouse
642,Turayf,SA,84.85,clear sky,31.6725,38.6637,Turaif
643,Sabang,ID,82.17,overcast clouds,5.8933,95.3214,Hotel Citra
644,Jind,IN,84.67,few clouds,29.3167,76.3167,Hotel Deep Palace
647,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
649,Gushikawa,JP,78.39,scattered clouds,26.3544,127.8686,Kirari Guest House
657,Say,NE,84.33,overcast clouds,13.1007,2.3689,
661,Araguacu,BR,82.81,scattered clouds,-12.9306,-49.8264,Hotel Tocantins
